tissue,probe,aupr_30_cell,aupr_100_cell,delta_100_minus_30,pct_change_100_vs_30
immune,attention,0.0152,0.0026,-0.0126,-0.8289473684210527
immune,coexpression,0.0165,0.0085,-0.008,-0.48484848484848486
immune,coexpression_signed,0.0127,0.008,-0.004699999999999999,-0.37007874015748027
immune,consensus,0.0159,0.001,-0.0149,-0.9371069182389936
immune,grad_input,0.0333,0.0008,-0.0325,-0.975975975975976
immune,integrated_gradients,0.0106,0.005,-0.0056,-0.5283018867924528
immune,perturbation,0.0128,0.0014,-0.0114,-0.890625
kidney,attention,0.0277,0.0297,0.0020000000000000018,0.07220216606498202
kidney,coexpression,0.0335,0.0366,0.0030999999999999986,0.09253731343283578
kidney,coexpression_signed,0.0352,0.0395,0.004299999999999998,0.12215909090909086
kidney,consensus,0.0277,0.03,0.0023,0.08303249097472924
kidney,grad_input,0.018,0.0195,0.0015000000000000013,0.08333333333333341
kidney,integrated_gradients,0.0246,0.0282,0.003599999999999999,0.1463414634146341
kidney,perturbation,0.0223,0.0252,0.0029,0.13004484304932734
lung,attention,0.0314,0.0324,0.0010000000000000009,0.03184713375796181
lung,coexpression,0.0354,0.0361,0.0006999999999999992,0.019774011299435006
lung,coexpression_signed,0.0252,0.0269,0.0017000000000000001,0.06746031746031747
lung,consensus,0.0308,0.0326,0.001799999999999996,0.05844155844155831
lung,grad_input,0.0238,0.0232,-0.0006000000000000033,-0.02521008403361358
lung,integrated_gradients,0.0163,0.0164,0.00010000000000000286,0.0061349693251535505
lung,perturbation,0.0284,0.022,-0.006400000000000003,-0.22535211267605643
