cell_budget,source_tissue,weighting,mean_relative_regret,ci95_low,ci95_high,n_targets
100,immune,confound_weighted_target,0.019439425634353955,0.0,0.0734177215189873,2
100,immune,unweighted,0.03670886075949365,0.0,0.0734177215189873,2
100,kidney,confound_weighted_target,0.15180009052672858,0.05882352941176469,0.2548476454293629,2
100,kidney,unweighted,0.1568355874205638,0.0588235294117647,0.2548476454293629,2
100,lung,confound_weighted_target,0.01800551323111755,0.0,0.0734177215189873,2
100,lung,unweighted,0.03670886075949365,0.0,0.0734177215189873,2
30,immune,confound_weighted_target,0.3703004242287063,0.327683615819209,0.4886363636363637,2
30,immune,unweighted,0.40815998972778633,0.327683615819209,0.4886363636363637,2
30,kidney,confound_weighted_target,0.46186660344492053,0.288135593220339,0.6186186186186187,2
30,kidney,unweighted,0.45337710591947883,0.288135593220339,0.6186186186186187,2
30,lung,confound_weighted_target,0.3926203719648034,0.0482954545454545,0.5045045045045046,2
30,lung,unweighted,0.2763999795249795,0.0482954545454545,0.5045045045045046,2
